expnum,image_fname,plver,ML_reason,alex_badexp,alex_reason,frank_badexp,frank_reason,yufeng_badexp,yufeng_reason
137380,c4d_121001_062046_ooi_g_ls11,V5.5LS,NObjects,True,something in the flat? pretty weird,False,,True,transparency
137389,c4d_121001_064632_ooi_z_ls11,V5.5LS,NObjects,True,,False,,True,transparency
137399,c4d_121001_070453_ooi_g_ls11,V5.5LS,Clouds_transparency,True,,False,,True,transparency
138007,c4d_121003_030521_ooi_r_ls11,V5.5LS,Out_of_focus,True,saturation,False,,True,bad ccd
138035,c4d_121003_034911_ooi_r_ls11,V5.5LS,Out_of_focus,True,saturation,False,,True,bad ccd
138036,c4d_121003_035100_ooi_r_ls11,V5.5LS,Out_of_focus,True,saturation,False,,True,bad ccd
138041,c4d_121003_035700_ooi_r_ls11,V5.5LS,Out_of_focus,True,saturation,False,,True,bad ccd
138042,c4d_121003_035843_ooi_r_ls11,V5.5LS,Out_of_focus,True,saturation,False,,True,bad ccd
138063,c4d_121003_043023_ooi_r_ls11,V5.5LS,PSF,True,saturation,False,,True,
138069,c4d_121003_044136_ooi_r_ls11,V5.5LS,Out_of_focus,True,saturation,False,,True,
138091,c4d_121003_053603_ooi_r_ls11,V5.5LS,Nonoptimal_exp,True,saturation,False,,True,
138094,c4d_121003_054130_ooi_r_ls11,V5.5LS,Out_of_focus,True,saturation,False,,True,
139923,c4d_121018_064525_ooi_r_ls11,V5.5LS,PSF,True,flat field,False,,True,
139924,c4d_121018_064637_ooi_r_ls11,V5.5LS,PSF,True,flat field,False,,True,
139925,c4d_121018_064747_ooi_r_ls11,V5.5LS,PSF,True,flat field,False,,True,
139926,c4d_121018_065039_ooi_g_ls11,V5.5LS,"Bad_CCD,Noise",True,flat field,False,,True,
139927,c4d_121018_065138_ooi_g_ls11,V5.5LS,"Bad_CCD,Noise",True,flat field,False,,True,
145858,c4d_121103_002038_ooi_r_v1,V5.5LS,PSF,False,,False,,True,strike pattern
170433,c4d_130119_083921_ooi_g_ls11,V5.5LS,"Noise,Telescope_Moving",True,telescope moving,False,,True,
192611,c4d_130331_073413_ooi_z_ls11,V5.5LS,Nonoptimal_exp,True,transparency,False,,True,
192614,c4d_130331_074127_ooi_z_ls11,V5.5LS,Saturated,True,transparency,False,,True,
192616,c4d_130331_074543_ooi_z_ls11,V5.5LS,Saturated,True,transparency,False,,True,
192797,c4d_130401_023028_ooi_z_ls11,V5.5LS,Noise,True,flat field,False,,False,
193705,c4d_130403_073306_ooi_z_ls11,V5.5LS,Noise,True,flat field,False,,False,
197537,c4d_130416_060636_ooi_r_ls11,V5.5LS,PSF,False,,False,,True,scattered light
197538,c4d_130416_061037_ooi_r_ls11,V5.5LS,PSF,False,,False,,True,scattered light
197630,c4d_130416_091400_ooi_r_ls11,V5.5LS,Ghost_Scatter,False,,False,,True,scattered light
197642,c4d_130416_093200_ooi_r_ls11,V5.5LS,Ghost_Scatter,False,,False,,True,scattered light
197893,c4d_130417_015509_ooi_r_ls11,V5.5LS,"Ghost_Scatter,PSF",True,processing,False,,True,bad ccd
198226,c4d_130417_102549_ooi_r_ls11,V5.5LS,Clouds_transparency,True,processing,False,,True,bad ccd
198686,c4d_130418_090332_ooi_r_ls11,V5.5LS,Ghost_Scatter,False,,False,,True,scattered light
198687,c4d_130418_090502_ooi_r_ls11,V5.5LS,Ghost_Scatter,False,,False,,True,scattered light
